mode,N,test_size,batch,pred_unknown,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,true_marginal,fit_marginal,experiment,exp_type,mse_no_re,mse,mae,mse_trim,r2,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,sig_ratio,nll_train,nll_test,n_epochs,time
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,embed,1.21412,1.21412,0.812722,0.805976,0.619175,,,,,,,50,20.7939
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,lmmnn,2.07897,1.12907,0.798834,0.778146,0.62967,1.11314,0.949036,0.924671,0.460211,1485.91,1527.19,50,87.0362
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,1,copnn,2.06687,1.11965,0.796136,0.77328,0.632602,1.13853,1.2425,0.967318,0.521832,1411.2,1452.18,50,97.2824
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ignore,1.58946,1.58946,0.915377,1.02803,0.479803,,,,,,,50,12.969
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,ohe,1.28809,1.28809,0.850255,0.882429,0.564312,,,,,,,50,26.018
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,embed,1.20778,1.20778,0.810007,0.793583,0.61052,,,,,,,50,20.2053
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,lmmnn,2.01455,1.11356,0.788119,0.752969,0.624229,1.09907,0.896922,1.11433,0.449363,1473.21,1520.09,50,86.78
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,2,copnn,2.01802,1.10647,0.786889,0.750314,0.627239,1.13748,1.24569,1.27112,0.522702,1400.5,1445.14,50,96.7178
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ignore,1.44728,1.44728,0.879209,0.961903,0.487197,,,,,,,50,13.0067
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,ohe,1.21419,1.21419,0.831223,0.847958,0.558939,,,,,,,50,25.9516
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,embed,1.20481,1.20481,0.811868,0.812138,0.592938,,,,,,,50,20.5272
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,lmmnn,1.80605,1.05636,0.775307,0.737049,0.615573,1.0649,0.873618,0.985048,0.450663,1457.5,1494.77,50,86.7919
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,3,copnn,1.84495,1.0694,0.776394,0.740047,0.611771,1.13522,1.18554,1.09731,0.510841,1393.67,1437.84,50,96.5549
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,ignore,1.60256,1.60256,0.918684,1.04878,0.460488,,,,,,,50,12.981
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,ohe,1.28431,1.28431,0.849143,0.887423,0.56383,,,,,,,50,26.0132
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,embed,1.23525,1.23525,0.818745,0.824271,0.602858,,,,,,,50,20.4862
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,lmmnn,1.95182,1.12835,0.795505,0.773027,0.616634,1.06771,0.856476,0.640038,0.44511,1461.55,1526.11,50,87.063
spatial,100000,0.2,1000,FALSE,1,1,1,1000,laplace,laplace,4,copnn,1.92698,1.11006,0.788967,0.756921,0.621595,1.10841,1.2081,0.759524,0.521518,1387.33,1448.38,50,96.6925
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ignore,1.27518,1.27518,0.832733,0.858344,0.613247,,,,,,,50,56.399
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ohe,1.15214,1.15214,0.790104,0.762002,0.642274,,,,,,,50,61.8012
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,embed,1.13517,1.13517,0.781945,0.743093,0.64395,,,,,,,50,63.2563
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,lmmnn,2.0101,1.05965,0.768669,0.723453,0.646664,1.03906,0.904368,0.447573,0.465346,1444.54,1450.46,50,379.271
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,copnn,2.05568,1.07562,0.776064,0.738387,0.641303,1.13825,1.52856,0.667611,0.573179,1370.6,1375.54,50,387.442
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,ignore,1.18012,1.18012,0.804703,0.788535,0.607048,,,,,,,50,54.7779
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,ohe,1.10672,1.10672,0.780909,0.740419,0.630444,,,,,,,50,60.1657
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,embed,1.16795,1.16795,0.798577,0.777162,0.630167,,,,,,,50,62.3624
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,lmmnn,1.86987,1.0668,0.776852,0.730497,0.628265,1.06155,0.851566,2.93143,0.44512,1438.32,1444.65,50,377.432
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,copnn,1.92835,1.06624,0.776322,0.729269,0.629368,1.12951,1.4362,2.94757,0.559768,1370.56,1376.45,50,385.543
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,ignore,1.22038,1.22038,0.81354,0.820068,0.592368,,,,,,,50,54.1285
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,ohe,1.06045,1.06045,0.760453,0.710178,0.627086,,,,,,,50,60.2663
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,embed,1.08313,1.08313,0.767422,0.723106,0.628856,,,,,,,50,62.6946
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,lmmnn,1.72012,1.00521,0.753819,0.695526,0.627353,0.990832,0.679901,2.25782,0.406948,1423.09,1421.63,50,374.256
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,copnn,1.74197,1.01382,0.756059,0.699081,0.625137,1.12442,1.4296,2.59919,0.559745,1359.13,1360.55,50,385.525
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,ignore,1.26004,1.26004,0.828549,0.839238,0.623577,,,,,,,50,54.5897
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,ohe,1.22744,1.22744,0.813165,0.804559,0.649059,,,,,,,50,60.1304
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,embed,1.21149,1.21149,0.80563,0.79048,0.653035,,,,,,,50,62.3678
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,lmmnn,2.30587,1.11856,0.793046,0.764181,0.654338,1.11999,1.09353,0.687807,0.494022,1471.83,1475.13,50,374.432
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,copnn,2.28737,1.13763,0.803191,0.785541,0.650264,1.13611,1.53858,0.651949,0.575236,1408.02,1410.27,50,384.722
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,ignore,1.27089,1.27089,0.827017,0.839131,0.608218,,,,,,,50,53.9672
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,ohe,1.1411,1.1411,0.794829,0.767338,0.639137,,,,,,,50,59.6523
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,embed,1.22587,1.22587,0.836757,0.847435,0.638318,,,,,,,50,62.2093
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,lmmnn,2.03749,1.08807,0.78291,0.750124,0.640281,1.09395,0.974327,0.906441,0.471082,1460.79,1462.25,50,374.42
spatial,500000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,copnn,2.13792,1.10256,0.78781,0.760499,0.634389,1.14552,1.55039,1.15172,0.575089,1384.94,1389.2,50,383.995
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ignore,1.29661,1.29661,0.83508,0.855617,0.636411,,,,,,,50,105.123
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ohe,1.16916,1.16916,0.796955,0.771392,0.657541,,,,,,,50,117.011
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,embed,1.1691,1.1691,0.794263,0.765291,0.658472,,,,,,,50,120.992
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,lmmnn,2.26901,1.13476,0.799923,0.781249,0.650174,1.09535,1.16926,2.78575,0.516318,1478.42,1479.95,50,734.814
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,copnn,2.32487,1.12874,0.793469,0.768032,0.65355,1.11909,1.48088,2.78443,0.569577,1395.4,1395.3,50,753.038
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,ignore,1.32568,1.32568,0.860821,0.903644,0.617254,,,,,,,50,105.415
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,ohe,1.17918,1.17918,0.801534,0.77787,0.645476,,,,,,,50,115.962
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,embed,1.22077,1.22077,0.811403,0.802585,0.645926,,,,,,,50,121.162
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,lmmnn,2.14121,1.11009,0.794922,0.76209,0.643632,1.1095,1.04373,1.04813,0.484727,1469.14,1469.95,50,737.6
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,copnn,2.19302,1.13176,0.802722,0.779817,0.638047,1.12123,1.47461,1.38618,0.568067,1406.78,1407.83,50,752.461
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,ignore,1.14187,1.14187,0.792196,0.765164,0.61482,,,,,,,50,105.6
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,ohe,1.10531,1.10531,0.778306,0.73797,0.633432,,,,,,,50,116.813
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,embed,1.10905,1.10905,0.774438,0.731462,0.633847,,,,,,,50,121.106
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,lmmnn,1.89872,1.05555,0.768866,0.722061,0.631173,1.01742,0.737499,0.703833,0.420247,1443.45,1446.62,50,735.271
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,2,copnn,1.96569,1.09881,0.790443,0.762592,0.6194,1.10138,1.38366,0.966492,0.556795,1400.81,1402.09,50,751.308
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,ignore,1.06591,1.06591,0.758929,0.710418,0.600849,,,,,,,50,104.989
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,ohe,1.06934,1.06934,0.761767,0.713057,0.6117,,,,,,,50,116.867
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,embed,1.03704,1.03704,0.757036,0.700176,0.618565,,,,,,,50,121.333
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,lmmnn,1.56603,0.974093,0.7377,0.665506,0.617941,0.989228,0.630564,0.401381,0.389287,1403.62,1405.6,50,736.447
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,3,copnn,1.67255,0.993071,0.746919,0.685476,0.610939,1.11543,1.44178,1.24167,0.56381,1345.74,1347.97,50,750.432
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,ignore,1.20016,1.20016,0.806747,0.800074,0.616811,,,,,,,50,104.413
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,ohe,1.14831,1.14831,0.790306,0.764849,0.63951,,,,,,,50,117.245
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,embed,1.1825,1.1825,0.797449,0.778707,0.63907,,,,,,,50,120.702
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,lmmnn,1.97929,1.07483,0.775793,0.739084,0.636256,1.10314,0.873434,0.783732,0.441892,1456.21,1456.11,50,736.828
spatial,1000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,4,copnn,2.02824,1.07069,0.77207,0.730928,0.637735,1.1186,1.41285,1.80058,0.558119,1372.53,1372.31,50,755.77
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ignore,1.3067,1.3067,0.848164,0.880062,0.612734,,,,,,,50,519.578
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ohe,1.17817,1.17817,0.802102,0.782458,0.641934,,,,,,,50,581.045
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,embed,1.20525,1.20525,0.806651,0.794656,0.646172,,,,,,,50,609.008
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,lmmnn,2.05274,1.10677,0.789161,0.757486,0.636238,0.973899,0.847838,2.91405,0.465401,1468.83,1469.49,50,3647.6
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,copnn,2.19627,1.11972,0.793202,0.766075,0.633975,1.08314,1.34795,4.03914,0.554462,1397.64,1398.75,50,3709.55
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,ignore,1.16838,1.16838,0.797276,0.780452,0.629574,,,,,,,50,520.616
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,ohe,1.13909,1.13909,0.781765,0.748784,0.64049,,,,,,,50,586.918
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,embed,1.1925,1.1925,0.798563,0.782019,0.643186,,,,,,,50,610.912
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,lmmnn,2.126,1.0678,0.769951,0.725389,0.635081,1.18489,0.936734,3.39685,0.441516,1443.66,1444.37,50,3647.7
spatial,5000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,1,copnn,2.04825,1.11458,0.79083,0.766878,0.622645,1.10373,1.37527,4.19882,0.554767,1398.49,1398.6,50,3709.27
spatial,10000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ignore,1.18439,1.18439,0.802515,0.787134,0.625878,,,,,,,50,1039.25
spatial,10000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,ohe,1.19945,1.19945,0.804623,0.789367,0.650854,,,,,,,50,1164.14
spatial,10000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,embed,1.21639,1.21639,0.804576,0.790456,0.652514,,,,,,,50,1202.1
spatial,10000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,lmmnn,2.1516,1.0863,0.779164,0.74241,0.644871,1.09753,1.05627,1.12647,0.490421,1457.12,1458.3,50,7235.03
spatial,10000000,0.2,1000,FALSE,1,1,1,100,laplace,laplace,0,copnn,2.10004,1.11205,0.790896,0.765918,0.638275,1.08624,1.37927,1.07065,0.559425,1400.85,1401.57,50,7364.56
